Latitude,Longitude
-29.273140222249662, -51.469206761782424
-29.273449409425922, -51.46878070379033
-29.27326514657389, -51.46852650112277
-29.27215956178589, -51.46972232775605
-29.273689887695046, -51.46799661389007
-29.273586825649353, -51.46788562399298
-29.272106468435826, -51.46788204367371
-29.272081483319987, -51.467244746845196
-29.272106468435826, -51.467871302715935
-29.273652410599546, -51.46788204367371
-29.273767964933192, -51.468025256444164
-29.274573718573652, -51.468025256444164
-29.274573718573652, -51.46740228088004
